Series ID,Year,Period,Label,Value
LNS12300061,2019,M01,2019 Jan,86.5
LNS12300061,2019,M02,2019 Feb,86.6
LNS12300061,2019,M03,2019 Mar,86.8
LNS12300061,2019,M04,2019 Apr,86.5
LNS12300061,2019,M05,2019 May,86.3
LNS12300061,2019,M06,2019 Jun,86.2
LNS12300061,2019,M07,2019 Jul,86.2
LNS12300061,2019,M08,2019 Aug,86.2
LNS12300061,2019,M09,2019 Sep,86.4
LNS12300061,2019,M10,2019 Oct,86.4
LNS12300061,2019,M11,2019 Nov,86.6
LNS12300061,2019,M12,2019 Dec,86.4
LNS12300061,2020,M01,2020 Jan,86.7
LNS12300061,2020,M02,2020 Feb,86.5
LNS12300061,2020,M03,2020 Mar,85.8
LNS12300061,2020,M04,2020 Apr,76.0
LNS12300061,2020,M05,2020 May,78.0
LNS12300061,2020,M06,2020 Jun,79.6
LNS12300061,2020,M07,2020 Jul,79.8
LNS12300061,2020,M08,2020 Aug,81.5
LNS12300061,2020,M09,2020 Sep,81.5
LNS12300061,2020,M10,2020 Oct,82.1
LNS12300061,2020,M11,2020 Nov,81.9
LNS12300061,2020,M12,2020 Dec,82.2
LNS12300061,2021,M01,2021 Jan,82.6
LNS12300061,2021,M02,2021 Feb,82.7
LNS12300061,2021,M03,2021 Mar,82.8
LNS12300061,2021,M04,2021 Apr,83.0
LNS12300061,2021,M05,2021 May,83.0
LNS12300061,2021,M06,2021 Jun,83.1
LNS12300061,2021,M07,2021 Jul,83.9
LNS12300061,2021,M08,2021 Aug,84.0
LNS12300061,2021,M09,2021 Sep,84.1
LNS12300061,2021,M10,2021 Oct,84.6
LNS12300061,2021,M11,2021 Nov,84.9
LNS12300061,2021,M12,2021 Dec,85.0
LNS12300061,2022,M01,2022 Jan,85.1
LNS12300061,2022,M02,2022 Feb,85.9
LNS12300061,2022,M03,2022 Mar,86.0
LNS12300061,2022,M04,2022 Apr,86.0
LNS12300061,2022,M05,2022 May,86.1
LNS12300061,2022,M06,2022 Jun,85.8
LNS12300061,2022,M07,2022 Jul,85.9
LNS12300061,2022,M08,2022 Aug,85.9
LNS12300061,2022,M09,2022 Sep,86.1
LNS12300061,2022,M10,2022 Oct,85.7
LNS12300061,2022,M11,2022 Nov,85.7
LNS12300061,2022,M12,2022 Dec,86.1
LNS12300061,2023,M01,2023 Jan,85.8
LNS12300061,2023,M02,2023 Feb,86.2
LNS12300061,2023,M03,2023 Mar,86.5
LNS12300061,2023,M04,2023 Apr,86.4
LNS12300061,2023,M05,2023 May,86.4
LNS12300061,2023,M06,2023 Jun,86.5
